claude_tier,title,close_date,pub_date,buyer,gsin,unspsc,category,contact_email,notice_url,why_it
Unlikely,Ransomware Tabletop Exercise,2026-07-10T14:00:00,2026-06-16,Office of the Superintendent of Financial Institutions (OSFI),,*Security and personal safety,*SRV,Contracting-Approvisionnement@osfi-bsif.gc.ca,,keywords: informatics
Unlikely,IT Infrastructure Services,2026-07-16T14:00:00,2026-06-16,Department of National Defence (DND),,*Software,*SRV,desproc3-3-dose3-3@forces.gc.ca,,"keywords: developer, it security, network, software"
Unlikely,Supply and Delivery of Forklift,2026-07-20T13:00:00,2026-06-22,Marine Atlantic,,,"*GD
*SRV",nsuhagbdo@ma.ca,https://www.merx.com/public/solicitations/4001249191/abstract?language=EN,keywords: website
Unlikely,Marine Mechanical Services,2026-07-20T13:00:00,2026-06-12,Marine Atlantic,,,*SRV,nsuhagbdo@ma.ca,https://www.merx.com/public/solicitations/3996682671/abstract?language=EN,keywords: website
Unlikely,RFP for New DCC Kingston Site Office,2026-07-22T14:00:00,2026-06-11,Defence Construction Canada / Construction de Défense Canada,,,*CNST,Craig.Patterson@dcc-cdc.gc.ca,https://www.merx.com/public/solicitations/3931666955/abstract?language=EN,keywords: website
Unlikely,DIVER HELD IMAGING AND NAVIGATION SYSTEM,2026-07-27T14:00:00,2026-06-16,Department of National Defence (DND),,*Underwater cameras,*GD,Ashley.Tarp@forces.gc.ca,,"keywords: computer, digital"
Unlikely,W2282-23AA45 - Management services and operation of the RMC Saint-Jean site facilities - RFP,2026-07-28T14:00:00,2026-06-16,Department of Public Works and Government Services (PSPC),,"*Real estate services
*Educational institutions",*SRV,philippe.montpetit@tpsgc-pwgsc.gc.ca,,keywords: information technology
Unlikely,"APN-CFMETR NEW RANGE OPERATIONS CENTRE (MDB) CFB ESQUIMALT, BC",2026-07-29T17:00:00,2026-06-19,Defence Construction Canada - Pacific Region,,,*CNST,matthew.glenn@dcc-cdc.gc.ca,https://www.merx.com/public/solicitations/4001339784/abstract?language=EN,"keywords: application, website"
Unlikely,Request for Information - Vaccine Sector Input on Buy Canadian Policy and Canadian Value-Added,2026-08-20T14:00:00,2026-06-19,Department of Public Works and Government Services (PSPC),,*Drugs and Pharmaceutical Products,*GD,kimandre.duplin-vu@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110016557?anId=ANONYMOUS,keywords: application
Unlikely,"APN - HEALTH SERVICES CENTRE AND TRANSITION CENTRE, CFB HALIFAX, NOVA SCOTIA",2026-08-31T13:00:00,2026-06-16,Defence Construction Canada - Atlantic Region,,,*CNST,veronica.mendoza@dcc-cdc.gc.ca,https://www.merx.com/public/solicitations/3999963702/abstract?language=EN,"keywords: application, website"
